epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21193.5,1.66583,1.86509,1.59731,0.62809,0.53946,0.57993,0.30316,1.70337,1.72941,1.52583,0.000899852,0.000899852,0.000899852
43,21696.3,1.65885,1.8614,1.59155,0.62838,0.54127,0.58118,0.30405,1.70063,1.72605,1.52385,0.000895088,0.000895088,0.000895088
44,22198.9,1.65679,1.85281,1.58783,0.62377,0.54416,0.5817,0.30505,1.69861,1.72121,1.52212,0.000890226,0.000890226,0.000890226
45,22709.9,1.65077,1.8488,1.58858,0.62535,0.5443,0.58208,0.30549,1.69682,1.71791,1.52104,0.000885268,0.000885268,0.000885268
46,23214.6,1.64714,1.83665,1.5772,0.62276,0.54631,0.58224,0.30611,1.69459,1.71406,1.51911,0.000880215,0.000880215,0.000880215
47,23718.2,1.64806,1.83464,1.57637,0.62368,0.54653,0.58348,0.30688,1.69215,1.71179,1.51778,0.000875068,0.000875068,0.000875068
48,24221.6,1.64185,1.82142,1.5763,0.62394,0.54776,0.58407,0.30745,1.6903,1.7088,1.5166,0.000869829,0.000869829,0.000869829
49,24727.8,1.64204,1.82267,1.57668,0.62477,0.55027,0.58476,0.30786,1.68904,1.70729,1.51559,0.000864498,0.000864498,0.000864498
50,25241.9,1.6339,1.80668,1.57116,0.62298,0.55011,0.58511,0.30859,1.6879,1.70504,1.51471,0.000859077,0.000859077,0.000859077
51,25746.2,1.63489,1.80615,1.56805,0.62484,0.55011,0.58605,0.30861,1.6866,1.70279,1.51437,0.000853568,0.000853568,0.000853568
52,26251.5,1.6324,1.79306,1.56809,0.62221,0.55293,0.58683,0.30902,1.68666,1.70115,1.51441,0.000847972,0.000847972,0.000847972
53,26756.4,1.62313,1.78191,1.56349,0.62341,0.55203,0.58649,0.30936,1.68548,1.69857,1.51355,0.000842289,0.000842289,0.000842289
54,27261.4,1.62197,1.78306,1.56153,0.62596,0.55367,0.58727,0.31024,1.68409,1.69602,1.51252,0.000836523,0.000836523,0.000836523
55,27776.3,1.62241,1.78319,1.56086,0.62586,0.55255,0.58747,0.31076,1.68272,1.69452,1.51169,0.000830673,0.000830673,0.000830673
56,28282.8,1.61809,1.77943,1.55524,0.62675,0.55352,0.58858,0.31145,1.68285,1.69156,1.51073,0.000824742,0.000824742,0.000824742
57,28789.1,1.61426,1.76624,1.55247,0.62968,0.55301,0.5891,0.31185,1.68322,1.68959,1.51013,0.00081873,0.00081873,0.00081873
58,29295.8,1.61489,1.75865,1.55414,0.63041,0.55257,0.58973,0.3125,1.68311,1.68704,1.50994,0.00081264,0.00081264,0.00081264
59,29801.5,1.61798,1.77749,1.55793,0.63187,0.55409,0.59058,0.31283,1.68248,1.68605,1.5094,0.000806473,0.000806473,0.000806473
60,30316.5,1.61262,1.75549,1.55146,0.63104,0.55616,0.5915,0.31388,1.68205,1.68482,1.50907,0.00080023,0.00080023,0.00080023
61,30829.9,1.60329,1.73934,1.54044,0.63509,0.5554,0.59203,0.31409,1.68179,1.68329,1.50858,0.000793913,0.000793913,0.000793913
62,31333.8,1.60285,1.73772,1.5398,0.63442,0.55594,0.59213,0.31452,1.68125,1.68186,1.50758,0.000787524,0.000787524,0.000787524
63,31838.5,1.60082,1.73421,1.5401,0.63432,0.55585,0.59223,0.31483,1.68047,1.67986,1.50698,0.000781064,0.000781064,0.000781064
64,32340.2,1.59842,1.72609,1.53995,0.63428,0.55649,0.59335,0.31525,1.68007,1.67685,1.50596,0.000774534,0.000774534,0.000774534
65,32853,1.59714,1.7344,1.54382,0.63423,0.55613,0.59415,0.31565,1.68033,1.67525,1.50569,0.000767937,0.000767937,0.000767937
66,33356.9,1.59713,1.724,1.53765,0.635,0.55755,0.59484,0.31614,1.68016,1.67447,1.50546,0.000761273,0.000761273,0.000761273
67,33859.9,1.59853,1.73015,1.53817,0.6352,0.55839,0.59564,0.317,1.67994,1.67254,1.50511,0.000754545,0.000754545,0.000754545
68,34364,1.58845,1.70881,1.53033,0.63811,0.55755,0.59577,0.3174,1.67927,1.67041,1.50444,0.000747755,0.000747755,0.000747755
69,34868.8,1.59198,1.70879,1.52912,0.63843,0.55782,0.59714,0.31812,1.67858,1.66905,1.50369,0.000740903,0.000740903,0.000740903
70,35384.4,1.59391,1.70698,1.52828,0.64028,0.55801,0.59757,0.31845,1.67853,1.66769,1.50309,0.000733992,0.000733992,0.000733992
71,35889.5,1.58634,1.69935,1.52499,0.64032,0.5579,0.59795,0.31875,1.67779,1.66623,1.50263,0.000727023,0.000727023,0.000727023
72,36394,1.58476,1.6909,1.52858,0.64501,0.55538,0.59811,0.3191,1.67724,1.66496,1.50201,0.000719998,0.000719998,0.000719998
73,36901.9,1.57867,1.68698,1.52051,0.64416,0.55664,0.59893,0.31976,1.67772,1.66335,1.50168,0.000712918,0.000712918,0.000712918
74,37408.4,1.57803,1.69207,1.51824,0.63991,0.55737,0.59913,0.32009,1.67749,1.66242,1.50099,0.000705787,0.000705787,0.000705787
75,37921.4,1.57941,1.68504,1.51782,0.63935,0.55943,0.59995,0.3207,1.67743,1.66131,1.50014,0.000698604,0.000698604,0.000698604
76,38423.7,1.57157,1.67474,1.51705,0.63993,0.55944,0.60099,0.32114,1.67763,1.65894,1.49949,0.000691373,0.000691373,0.000691373
77,38926.9,1.57026,1.6723,1.51699,0.64093,0.56026,0.60186,0.32173,1.67751,1.65765,1.49893,0.000684094,0.000684094,0.000684094
78,39431,1.5601,1.65196,1.50426,0.64113,0.56108,0.60215,0.32222,1.67849,1.65694,1.49817,0.00067677,0.00067677,0.00067677
79,39934,1.56236,1.65326,1.50562,0.64093,0.56064,0.60275,0.32237,1.67931,1.65465,1.49772,0.000669402,0.000669402,0.000669402
80,519.088,1.58953,1.72264,1.54872,0.64445,0.56106,0.60308,0.32223,1.67977,1.65453,1.49819,0.000661993,0.000661993,0.000661993
81,1030.82,1.58835,1.71162,1.53394,0.64473,0.56101,0.60391,0.3224,1.6806,1.65417,1.49869,0.000654543,0.000654543,0.000654543
82,1543.81,1.57839,1.69892,1.5291,0.64187,0.56104,0.60369,0.32273,1.68007,1.6532,1.49866,0.000647055,0.000647055,0.000647055
83,2055.76,1.58057,1.69474,1.52738,0.64216,0.5625,0.60349,0.32269,1.68164,1.65456,1.49941,0.000639532,0.000639532,0.000639532
84,2568.15,1.57514,1.68953,1.52339,0.64432,0.56289,0.60376,0.32295,1.68236,1.65443,1.49998,0.000631973,0.000631973,0.000631973
85,3088.87,1.5777,1.68556,1.52517,0.64571,0.56193,0.60375,0.32295,1.68308,1.65324,1.50013,0.000624383,0.000624383,0.000624383
86,3599.76,1.56943,1.67978,1.51733,0.64614,0.56156,0.60509,0.32323,1.68398,1.65235,1.50018,0.000616761,0.000616761,0.000616761
87,4112.61,1.57067,1.6745,1.51498,0.64475,0.56093,0.60458,0.32381,1.68533,1.647,1.50053,0.000609111,0.000609111,0.000609111
88,4625.73,1.57044,1.66829,1.5151,0.64621,0.56119,0.60585,0.32416,1.68522,1.64274,1.50058,0.000601434,0.000601434,0.000601434
89,5138.37,1.56773,1.66361,1.51151,0.64533,0.56294,0.60597,0.32448,1.68535,1.64039,1.50029,0.000593731,0.000593731,0.000593731
90,5661.52,1.56362,1.65948,1.50936,0.647,0.56515,0.60699,0.3246,1.68571,1.63948,1.50011,0.000586006,0.000586006,0.000586006
91,6173.77,1.56381,1.6439,1.50629,0.64992,0.56404,0.60651,0.32464,1.68481,1.63841,1.49914,0.000578259,0.000578259,0.000578259
92,6685.49,1.55844,1.64797,1.50739,0.65155,0.56474,0.60741,0.32508,1.68454,1.63748,1.49845,0.000570494,0.000570494,0.000570494
93,7198.64,1.55477,1.6403,1.49997,0.6522,0.56211,0.60645,0.32494,1.68407,1.63845,1.49777,0.00056271,0.00056271,0.00056271
94,7712.26,1.55475,1.6454,1.50909,0.64884,0.56354,0.60677,0.32508,1.68356,1.64126,1.49734,0.000554912,0.000554912,0.000554912
95,8235.65,1.55236,1.63522,1.50499,0.64867,0.56475,0.60716,0.32516,1.68396,1.6401,1.4974,0.000547099,0.000547099,0.000547099
96,8748.91,1.54152,1.62717,1.49834,0.64741,0.56677,0.60758,0.32528,1.68377,1.63927,1.49715,0.000539276,0.000539276,0.000539276
97,9263.36,1.55281,1.63625,1.50354,0.6448,0.56979,0.60882,0.32538,1.68368,1.63878,1.49716,0.000531442,0.000531442,0.000531442
98,9776.98,1.53825,1.60763,1.49449,0.64914,0.56722,0.60944,0.32577,1.68309,1.63687,1.49666,0.000523601,0.000523601,0.000523601
99,10290.3,1.53588,1.61203,1.49242,0.64985,0.56901,0.61062,0.32614,1.68254,1.63307,1.49619,0.000515754,0.000515754,0.000515754
100,10812.5,1.53557,1.60854,1.49064,0.65341,0.56711,0.61115,0.32632,1.68234,1.63143,1.49611,0.000507903,0.000507903,0.000507903
101,11326.6,1.53165,1.59411,1.48696,0.65441,0.56594,0.61065,0.32644,1.68218,1.62793,1.49592,0.00050005,0.00050005,0.00050005
102,11841.9,1.52636,1.59351,1.48546,0.65684,0.56502,0.61129,0.32649,1.68231,1.6254,1.49542,0.000492197,0.000492197,0.000492197
103,12356.8,1.5293,1.58743,1.48326,0.66154,0.56278,0.6129,0.32695,1.68201,1.6243,1.49507,0.000484346,0.000484346,0.000484346
104,12872,1.52981,1.59115,1.48737,0.6634,0.56286,0.61336,0.32744,1.68232,1.62098,1.49496,0.000476499,0.000476499,0.000476499
105,13396.8,1.529,1.58736,1.48566,0.66334,0.56142,0.6134,0.3272,1.68242,1.61773,1.49521,0.000468658,0.000468658,0.000468658
106,13910.3,1.52267,1.57936,1.48181,0.6609,0.56463,0.61341,0.32734,1.68288,1.61478,1.49572,0.000460824,0.000460824,0.000460824
107,14425.4,1.51897,1.56609,1.47607,0.65972,0.56451,0.61383,0.32723,1.68361,1.61421,1.49592,0.000453001,0.000453001,0.000453001
108,14941.4,1.51453,1.5663,1.47942,0.66122,0.56376,0.61421,0.32735,1.68442,1.61576,1.49639,0.000445188,0.000445188,0.000445188
109,15455.7,1.51469,1.5651,1.47537,0.6617,0.56506,0.61468,0.32751,1.68485,1.61518,1.49673,0.00043739,0.00043739,0.00043739
110,15980.7,1.5146,1.55601,1.47197,0.66907,0.56264,0.6157,0.32749,1.68528,1.61501,1.49727,0.000429606,0.000429606,0.000429606
111,16497.3,1.51219,1.55694,1.47525,0.67136,0.56081,0.61607,0.32779,1.68647,1.61454,1.49755,0.000421841,0.000421841,0.000421841
112,17014,1.50908,1.54977,1.46923,0.66955,0.56265,0.61599,0.328,1.68721,1.61195,1.49789,0.000414094,0.000414094,0.000414094
113,17527.8,1.50157,1.54115,1.46235,0.66873,0.56345,0.61602,0.32804,1.68826,1.6116,1.49862,0.000406369,0.000406369,0.000406369
114,18042.6,1.50561,1.54412,1.46315,0.66788,0.56581,0.61668,0.32796,1.68937,1.61149,1.49883,0.000398666,0.000398666,0.000398666
115,18567.5,1.49306,1.52658,1.45916,0.66806,0.56632,0.61747,0.32856,1.69021,1.61273,1.4994,0.000390989,0.000390989,0.000390989
